mutation_category,mutation_name,total_onsets_ref,total_onsets_live,correct_matches,late_matches,early_matches,missing_onsets,extra_onsets,correct_notes,tempo_reference_bpm,tempo_live_bpm,tempo_difference_bpm
pitch,pitch_shift,106,106,106,0,0,0,0,97,104.00,104.00,0.00
tempo,faster_tempo,108,108,106,1,1,0,0,68,104.00,72.00,32.00
tempo,a_lot_faster_tempo,113,113,104,2,7,0,0,68,104.00,89.00,15.00
tempo,slower_tempo,108,108,106,2,0,0,0,92,104.00,110.00,6.00
tempo,a_lot_slower_tempo,106,106,106,0,0,0,0,78,104.00,104.00,0.00
progressive_tempo,accelerando,126,106,61,28,17,20,0,20,104.00,110.00,6.00
progressive_tempo,ritardando,106,131,57,12,37,0,25,12,104.00,117.00,13.00
progressive_tempo,tempo_fluctuation,155,172,74,34,47,0,17,34,104.00,104.00,0.00
timing,note_too_soon,110,109,87,14,8,1,0,23,104.00,104.00,0.00
timing,note_too_late,109,109,104,4,1,0,0,93,104.00,104.00,0.00
duration,note_held_too_long,107,107,106,1,0,0,0,95,104.00,104.00,0.00
duration,note_cut_too_soon,108,108,105,1,2,0,0,95,104.00,104.00,0.00
note,note_missing,106,105,88,12,5,1,0,33,104.00,104.00,0.00
note,note_not_expected,106,107,97,1,8,0,1,66,104.00,104.00,0.00
articulation,articulated_legato,106,105,100,3,2,1,0,79,104.00,104.00,0.00
articulation,articulated_staccato,106,106,106,0,0,0,0,97,104.00,104.00,0.00
articulation,articulated_accentuated,106,106,106,0,0,0,0,97,104.00,104.00,0.00
